bundle_rating_id,scorer_rating_id,bundle_name,position,shuffle_seed,nonce_sha256,media_sha256
r_de672713a9a3fbe5fedb,sa3cal_060_b97d5ea6f9df,t5_sa3_calibration,45,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,9134a4e0b92050fca351822bf3605b051cac219757fba9b88142791114460eb3
r_a6c30da2a12eda9acb0d,sa3cal_037_c5cc744b5729,t5_sa3_calibration,46,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,7cb8469f494b0c84dc53eadfef3e2ffd7b35f001e2e251b087265d1cd11df7db
r_ead94e659bf93e15efe1,sa3cal_013_1d4be0951969,t5_sa3_calibration,47,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,e27206217510f34b028850ce24c495cffb44a71c8067b86d3c0ec3acd25f3052
r_da01952babc854b96f52,sa3cal_008_8af34fb3dca1,t5_sa3_calibration,48,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,34f56f2ec429cb77aebc0adbed0926f7079a28433c0408ed1f865f738402384b
r_a2f78c1ba14fd76729c9,sa3cal_046_1e2b67a1ef2d,t5_sa3_calibration,49,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,505f1c930b8f6f87e646127c8ff055aaf0e18b0727fe67c5da120e3493e8384e
r_00b3c6ce03d837d725f4,sa3cal_010_3e440700a11d,t5_sa3_calibration,50,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,60a99d6376771c960e5f29918e73f0b2aa1e1e4767175d2152760706456b9322
r_dac5635fa3bd0e06e736,sa3cal_043_c131c4c41ba8,t5_sa3_calibration,51,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,a106191fee4a74763a8e2777df00052054185039074d09031e2e1359095bb98c
r_c0a00fc2321c6ffb1939,sa3cal_006_9d88aeafa508,t5_sa3_calibration,52,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,fbdb627696e5841ffc72391274a608eacd08a3455eef7cd96dbd9565636c3706
r_41cf4806f59684881a3f,sa3cal_033_edea5cfd706c,t5_sa3_calibration,53,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,2321727112f3f0b911889e4d03575bc9a57d98e64ccb12b20d17c463cabb8c4b
r_31e87f1c6893bcca415a,sa3cal_054_45234a39eca2,t5_sa3_calibration,54,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,2e5c913fd9906f7f83cd26278fd634eac27ae05ff94cc93aea5f03f8c5b3bcf9
r_0e28ee256a4840be8ba5,sa3cal_017_9dac0a75645c,t5_sa3_calibration,55,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,738562294b86d80ade7a41525f531d0a1d2d607f7643d636230f9308672a9198
r_e5c98a4f40989b29ddfa,sa3cal_034_9ae9220c1111,t5_sa3_calibration,56,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,0656f1bd71191c12b5e68d7dad3fe0df61c348c1d0c4738257b40570d97a9371
r_fe71317bdc4df89a4949,sa3cal_051_7c42513d4348,t5_sa3_calibration,57,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,ade2db246beee5183ff9bc7c522c4eac1e28a2c0287c2d5fe1d9613e31b85570
r_2617cbaf507680b6199f,sa3cal_055_36c9415e70d4,t5_sa3_calibration,58,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,6a30f7a8ed7e19e0cf8724de95a9516b3c9a13111de3a66ed906962e58a77018
r_e349c75f228564633627,sa3cal_035_ad14c0c5b318,t5_sa3_calibration,59,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,64ad4ac4f31dfaa3ad583548a772249d1ed5d3aedd02b8f3656127fe23da8d2f
r_7b329824aebe7c89f800,sa3cal_025_acf1eab2c11e,t5_sa3_calibration,60,20260711,b222a93d8bf8473e6d0a7a9f398e848c6c8b162adcc903240667c168b1763f6f,8d0b760c9cd3eb522c9748c23b415f90427d66f2263f98410f83673fecd416b4
