media_sha256,transcript_nonempty,transcript_confidence,transcript_chars,transcript_sha256,segment_count,backend_id
1a1ea8cdf4261be7d32dd354e242eb6df8d43c53b3614ec1b0e1a3214360d339,1,0.15251063478333,11,56395f76e2d842825498f5822a39523800ec9c71ce7261a6fbaa18f497c0bff1,2,openai-whisper-large-v3
1b56e8bdd1b99c9b1ebb56aa49a643af5e5213bde54417b1815c782ee677ba6e,1,0.5814184936193041,112,a35528ac1a411a1a2e4f298efcfb5399725fb7bc1a6b39b52eadfbe8abe06671,4,openai-whisper-large-v3
1bc249ee6ae79b83f8fe4b74e9a1941c9e35252be663212d6f00d8594fa9984d,1,0.5093612726545412,62,7f038315e95aecb601b56afa1937b818d98e079584e1d00a61eed17cf6861f10,2,openai-whisper-large-v3
1c685f428107106ca2d4e5fb9db9dd8a67f30ffc567bae7bcddb9daf461bfc4e,0,0.0,0,,0,openai-whisper-large-v3
1c7caf3b3c4b017adde9d82ab1775fbc92787072ebd7aa89da6668d6875338e1,1,0.3362701502546822,115,8c55ca67912100177d67bd75a288ec4d989ca22c64783aa663719b7f66307718,5,openai-whisper-large-v3
1cb1b52508048a167743f2a4c503240d120030f6223ace82c8e0a0faf57abfda,1,0.49842960256003743,100,8664b316c1c88ae7db63385ea47461e5aa535a15255b7020cc62dd7b182d627d,4,openai-whisper-large-v3
1cb5377ff955665798f7f03ea6e8a940cf18ba1c27281e82508e21d5788bb5b3,1,0.07694296414616447,576,b9c61a05b44678c9a42d8e4c82311a98d746394410217fc12adc85ae35c77536,11,openai-whisper-large-v3
1cd5b61da842c9d34bff0c1a3d617243beadb5de785b258c3f07e24d7aef6349,1,0.30057748822186403,564,18ccff0249bbe2466ee49ca92c3671a33988b3ebec1e3fcc61254b368537c82e,19,openai-whisper-large-v3
1cd85e17104b40001854bf4b4f98ceb8a8c743e0316d090077db076db79dfe58,1,0.18862241208687136,56,a532d5e82e6fb65fbf9271dc8c0052d37797efe76d0150ceccd84354f92d40cd,1,openai-whisper-large-v3
1d002b183022b8df6ff50f3690ff80c7d13d729aae033b2e2616cb6cd6eb8fe4,1,0.17363645706739855,109,47cc05e2d710651a0b7d34ad04a82c7bff16a6ce7788040b27c232b5a602427c,5,openai-whisper-large-v3
1d04274f10c8d534825223d42a1f6178c57b0b5f3660289809b18e6eb94e20e1,1,0.6773056416842095,175,bc5f84c4074f3aebc7492c5c74c7caecebfbc8a37fcdfd0ea9cc348905c613d5,4,openai-whisper-large-v3
1d9146b57c82bee80ef9ab7a3836ccaccc46c570ed15cf890b9d700bf00322d7,1,0.10184247254811145,23,21033ab605511778203962b1e262878fb99614e3cbc8d903199c4ac4a7825e05,1,openai-whisper-large-v3
1db0e264a6e0f87826f99e9aa82efbc73b6bbcf6ea8c18844ea95dcf3f75332c,0,0.0,0,,0,openai-whisper-large-v3
