clip_id,manifest_index,prompt_id,stratum,prompt_text,replicate,seed,output_path
exit1_uncond_138,138,neutral_00,neutral_text,music,10,2036000138,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_138_seed2036000138.flac
exit1_uncond_139,139,neutral_00,neutral_text,music,11,2036000139,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_139_seed2036000139.flac
exit1_uncond_140,140,neutral_00,neutral_text,music,12,2036000140,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_140_seed2036000140.flac
exit1_uncond_141,141,neutral_00,neutral_text,music,13,2036000141,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_141_seed2036000141.flac
exit1_uncond_142,142,neutral_00,neutral_text,music,14,2036000142,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_142_seed2036000142.flac
exit1_uncond_143,143,neutral_00,neutral_text,music,15,2036000143,analysis_exit1/unconditional_run_20260716/audio/neutral_00/exit1_uncond_143_seed2036000143.flac
exit1_uncond_144,144,neutral_01,neutral_text,an audio recording,0,2036000144,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_144_seed2036000144.flac
exit1_uncond_145,145,neutral_01,neutral_text,an audio recording,1,2036000145,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_145_seed2036000145.flac
exit1_uncond_146,146,neutral_01,neutral_text,an audio recording,2,2036000146,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_146_seed2036000146.flac
exit1_uncond_147,147,neutral_01,neutral_text,an audio recording,3,2036000147,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_147_seed2036000147.flac
exit1_uncond_148,148,neutral_01,neutral_text,an audio recording,4,2036000148,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_148_seed2036000148.flac
exit1_uncond_149,149,neutral_01,neutral_text,an audio recording,5,2036000149,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_149_seed2036000149.flac
exit1_uncond_150,150,neutral_01,neutral_text,an audio recording,6,2036000150,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_150_seed2036000150.flac
exit1_uncond_151,151,neutral_01,neutral_text,an audio recording,7,2036000151,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_151_seed2036000151.flac
exit1_uncond_152,152,neutral_01,neutral_text,an audio recording,8,2036000152,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_152_seed2036000152.flac
exit1_uncond_153,153,neutral_01,neutral_text,an audio recording,9,2036000153,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_153_seed2036000153.flac
exit1_uncond_154,154,neutral_01,neutral_text,an audio recording,10,2036000154,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_154_seed2036000154.flac
exit1_uncond_155,155,neutral_01,neutral_text,an audio recording,11,2036000155,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_155_seed2036000155.flac
exit1_uncond_156,156,neutral_01,neutral_text,an audio recording,12,2036000156,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_156_seed2036000156.flac
exit1_uncond_157,157,neutral_01,neutral_text,an audio recording,13,2036000157,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_157_seed2036000157.flac
exit1_uncond_158,158,neutral_01,neutral_text,an audio recording,14,2036000158,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_158_seed2036000158.flac
exit1_uncond_159,159,neutral_01,neutral_text,an audio recording,15,2036000159,analysis_exit1/unconditional_run_20260716/audio/neutral_01/exit1_uncond_159_seed2036000159.flac
exit1_uncond_160,160,neutral_02,neutral_text,a musical composition,0,2036000160,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_160_seed2036000160.flac
exit1_uncond_161,161,neutral_02,neutral_text,a musical composition,1,2036000161,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_161_seed2036000161.flac
exit1_uncond_162,162,neutral_02,neutral_text,a musical composition,2,2036000162,analysis_exit1/unconditional_run_20260716/audio/neutral_02/exit1_uncond_162_seed2036000162.flac
