prompt_id,stratum,selection_bin,successes,attempts,p_hat,assigned_regime,prob_rare_le_1_in_16,prob_low_1_in_16_to_1_in_4,prob_seed_recoverable_1_in_4_to_1_in_2,prob_easy_ge_1_in_2,max_membership_probability,membership_flag,population_weight
held_out_0171,vocal,3,53,128,0.4140625,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0,0.9716,0.0284,0.9716,stable,2.0
held_out_0173,instrumental,2,75,128,0.5859375,easy_ge_1_in_2,0.0,0.0,0.0199,0.9801,0.9801,stable,2.25
held_out_0175,instrumental,0,119,128,0.9296875,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0176,vocal,2,30,128,0.234375,low_1_in_16_to_1_in_4,0.0,0.6334,0.3666,0.0,0.6334,uncertain,1.9230769230769231
held_out_0178,instrumental,0,108,128,0.84375,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0179,vocal,0,116,128,0.90625,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0344827586206895
held_out_0180,vocal,1,104,128,0.8125,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0182,instrumental,0,125,128,0.9765625,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.0
held_out_0184,vocal,0,54,128,0.421875,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0002,0.9551,0.0447,0.9551,stable,2.0344827586206895
held_out_0189,vocal,4,35,128,0.2734375,seed_recoverable_1_in_4_to_1_in_2,0.0,0.2496,0.7504,0.0,0.7504,uncertain,2.0
held_out_0190,instrumental,4,47,128,0.3671875,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0022,0.9956,0.0022,0.9956,stable,2.0
held_out_0192,instrumental,3,89,128,0.6953125,easy_ge_1_in_2,0.0,0.0,0.0,1.0,1.0,stable,2.5
held_out_0193,vocal,8,7,128,0.0546875,rare_le_1_in_16,0.7317,0.2683,0.0,0.0,0.7317,uncertain,1.0
held_out_0194,vocal,2,47,128,0.3671875,seed_recoverable_1_in_4_to_1_in_2,0.0,0.0016,0.9972,0.0012,0.9972,stable,1.9230769230769231
