task_id,prompt_rank,prompt_id,condition_index,condition,seed_idx,seed,cfg_scale,text_intervention,duration_seconds,output_path
w2fact_00_3_05,0,held_out_0238,3,sampler_only,5,2034000005,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s05_2034000005.flac
w2fact_00_3_06,0,held_out_0238,3,sampler_only,6,2034000006,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s06_2034000006.flac
w2fact_00_3_07,0,held_out_0238,3,sampler_only,7,2034000007,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s07_2034000007.flac
w2fact_00_3_08,0,held_out_0238,3,sampler_only,8,2034000008,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s08_2034000008.flac
w2fact_00_3_09,0,held_out_0238,3,sampler_only,9,2034000009,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s09_2034000009.flac
w2fact_00_3_10,0,held_out_0238,3,sampler_only,10,2034000010,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s10_2034000010.flac
w2fact_00_3_11,0,held_out_0238,3,sampler_only,11,2034000011,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s11_2034000011.flac
w2fact_00_3_12,0,held_out_0238,3,sampler_only,12,2034000012,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s12_2034000012.flac
w2fact_00_3_13,0,held_out_0238,3,sampler_only,13,2034000013,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s13_2034000013.flac
w2fact_00_3_14,0,held_out_0238,3,sampler_only,14,2034000014,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s14_2034000014.flac
w2fact_00_3_15,0,held_out_0238,3,sampler_only,15,2034000015,7.5,,15.0,paper_prep/w2_execution_20260712/factorial/audio/sampler_only/held_out_0238/sampler_only_s15_2034000015.flac
w2fact_00_4_00,0,held_out_0238,4,negative_sampler,0,2034000000,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s00_2034000000.flac
w2fact_00_4_01,0,held_out_0238,4,negative_sampler,1,2034000001,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s01_2034000001.flac
w2fact_00_4_02,0,held_out_0238,4,negative_sampler,2,2034000002,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s02_2034000002.flac
w2fact_00_4_03,0,held_out_0238,4,negative_sampler,3,2034000003,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s03_2034000003.flac
w2fact_00_4_04,0,held_out_0238,4,negative_sampler,4,2034000004,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s04_2034000004.flac
w2fact_00_4_05,0,held_out_0238,4,negative_sampler,5,2034000005,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s05_2034000005.flac
w2fact_00_4_06,0,held_out_0238,4,negative_sampler,6,2034000006,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s06_2034000006.flac
w2fact_00_4_07,0,held_out_0238,4,negative_sampler,7,2034000007,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s07_2034000007.flac
w2fact_00_4_08,0,held_out_0238,4,negative_sampler,8,2034000008,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s08_2034000008.flac
w2fact_00_4_09,0,held_out_0238,4,negative_sampler,9,2034000009,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s09_2034000009.flac
w2fact_00_4_10,0,held_out_0238,4,negative_sampler,10,2034000010,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s10_2034000010.flac
w2fact_00_4_11,0,held_out_0238,4,negative_sampler,11,2034000011,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s11_2034000011.flac
w2fact_00_4_12,0,held_out_0238,4,negative_sampler,12,2034000012,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s12_2034000012.flac
w2fact_00_4_13,0,held_out_0238,4,negative_sampler,13,2034000013,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s13_2034000013.flac
w2fact_00_4_14,0,held_out_0238,4,negative_sampler,14,2034000014,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s14_2034000014.flac
w2fact_00_4_15,0,held_out_0238,4,negative_sampler,15,2034000015,7.5,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_sampler/held_out_0238/negative_sampler_s15_2034000015.flac
w2fact_00_5_00,0,held_out_0238,5,positive_sampler,0,2034000000,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s00_2034000000.flac
w2fact_00_5_01,0,held_out_0238,5,positive_sampler,1,2034000001,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s01_2034000001.flac
w2fact_00_5_02,0,held_out_0238,5,positive_sampler,2,2034000002,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s02_2034000002.flac
w2fact_00_5_03,0,held_out_0238,5,positive_sampler,3,2034000003,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s03_2034000003.flac
w2fact_00_5_04,0,held_out_0238,5,positive_sampler,4,2034000004,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s04_2034000004.flac
w2fact_00_5_05,0,held_out_0238,5,positive_sampler,5,2034000005,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s05_2034000005.flac
w2fact_00_5_06,0,held_out_0238,5,positive_sampler,6,2034000006,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s06_2034000006.flac
w2fact_00_5_07,0,held_out_0238,5,positive_sampler,7,2034000007,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s07_2034000007.flac
w2fact_00_5_08,0,held_out_0238,5,positive_sampler,8,2034000008,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s08_2034000008.flac
w2fact_00_5_09,0,held_out_0238,5,positive_sampler,9,2034000009,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s09_2034000009.flac
w2fact_00_5_10,0,held_out_0238,5,positive_sampler,10,2034000010,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s10_2034000010.flac
w2fact_00_5_11,0,held_out_0238,5,positive_sampler,11,2034000011,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s11_2034000011.flac
w2fact_00_5_12,0,held_out_0238,5,positive_sampler,12,2034000012,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s12_2034000012.flac
w2fact_00_5_13,0,held_out_0238,5,positive_sampler,13,2034000013,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s13_2034000013.flac
w2fact_00_5_14,0,held_out_0238,5,positive_sampler,14,2034000014,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s14_2034000014.flac
w2fact_00_5_15,0,held_out_0238,5,positive_sampler,15,2034000015,7.5,"instrumental arrangement led by synthesizer, drums, bass, and melodic instruments",15.0,paper_prep/w2_execution_20260712/factorial/audio/positive_sampler/held_out_0238/positive_sampler_s15_2034000015.flac
w2fact_01_0_00,1,held_out_0094,0,plain_baseline,0,2034001000,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s00_2034001000.flac
w2fact_01_0_01,1,held_out_0094,0,plain_baseline,1,2034001001,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s01_2034001001.flac
w2fact_01_0_02,1,held_out_0094,0,plain_baseline,2,2034001002,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s02_2034001002.flac
w2fact_01_0_03,1,held_out_0094,0,plain_baseline,3,2034001003,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s03_2034001003.flac
w2fact_01_0_04,1,held_out_0094,0,plain_baseline,4,2034001004,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s04_2034001004.flac
w2fact_01_0_05,1,held_out_0094,0,plain_baseline,5,2034001005,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s05_2034001005.flac
w2fact_01_0_06,1,held_out_0094,0,plain_baseline,6,2034001006,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s06_2034001006.flac
w2fact_01_0_07,1,held_out_0094,0,plain_baseline,7,2034001007,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s07_2034001007.flac
w2fact_01_0_08,1,held_out_0094,0,plain_baseline,8,2034001008,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s08_2034001008.flac
w2fact_01_0_09,1,held_out_0094,0,plain_baseline,9,2034001009,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s09_2034001009.flac
w2fact_01_0_10,1,held_out_0094,0,plain_baseline,10,2034001010,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s10_2034001010.flac
w2fact_01_0_11,1,held_out_0094,0,plain_baseline,11,2034001011,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s11_2034001011.flac
w2fact_01_0_12,1,held_out_0094,0,plain_baseline,12,2034001012,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s12_2034001012.flac
w2fact_01_0_13,1,held_out_0094,0,plain_baseline,13,2034001013,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s13_2034001013.flac
w2fact_01_0_14,1,held_out_0094,0,plain_baseline,14,2034001014,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s14_2034001014.flac
w2fact_01_0_15,1,held_out_0094,0,plain_baseline,15,2034001015,5.0,,15.0,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0094/plain_baseline_s15_2034001015.flac
w2fact_01_1_00,1,held_out_0094,1,negative_text,0,2034001000,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0094/negative_text_s00_2034001000.flac
w2fact_01_1_01,1,held_out_0094,1,negative_text,1,2034001001,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0094/negative_text_s01_2034001001.flac
w2fact_01_1_02,1,held_out_0094,1,negative_text,2,2034001002,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0094/negative_text_s02_2034001002.flac
w2fact_01_1_03,1,held_out_0094,1,negative_text,3,2034001003,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0094/negative_text_s03_2034001003.flac
w2fact_01_1_04,1,held_out_0094,1,negative_text,4,2034001004,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0094/negative_text_s04_2034001004.flac
w2fact_01_1_05,1,held_out_0094,1,negative_text,5,2034001005,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0094/negative_text_s05_2034001005.flac
w2fact_01_1_06,1,held_out_0094,1,negative_text,6,2034001006,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0094/negative_text_s06_2034001006.flac
w2fact_01_1_07,1,held_out_0094,1,negative_text,7,2034001007,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0094/negative_text_s07_2034001007.flac
w2fact_01_1_08,1,held_out_0094,1,negative_text,8,2034001008,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0094/negative_text_s08_2034001008.flac
w2fact_01_1_09,1,held_out_0094,1,negative_text,9,2034001009,5.0,"pure instrumental, no vocals, no singing, no voice",15.0,paper_prep/w2_execution_20260712/factorial/audio/negative_text/held_out_0094/negative_text_s09_2034001009.flac
