rating_id,judge_clip_id,media_sha256,duplicate_group_size
aprime_0125_c611297b84f2,aprime_global_e0ae029cbb950d6fbf55,e0ae029cbb950d6fbf557404f54d275daa5614b3130a58eebb0c8bf55fc29a49,1
aprime_0127_369550ac2d7c,aprime_global_d4f815c83a4665cc2355,d4f815c83a4665cc23552e8343735b1b54973a33fcf85d94e1e0bd4edc727db7,1
aprime_0128_2ba642aa7971,aprime_global_73693b53a269a8abbb44,73693b53a269a8abbb441df477395c9eda24241c5bcdff3452fb1caecd7fca03,1
aprime_0130_e323a0b0e5b7,aprime_global_11abd3c762098df6c83e,11abd3c762098df6c83e81d8fdecdc1f0c6e1daa17944a83dbf5fba07aac0150,1
aprime_0131_0eb4beb64c40,aprime_global_a0209e72313b2e5b26ed,a0209e72313b2e5b26ed0c47681029006b6c041573db1bb10e4633f45783ed78,1
aprime_0132_b7fe0e099d2e,aprime_global_9dd32020ef6cdf0b0a3f,9dd32020ef6cdf0b0a3f2e238cd73418568c70bed44b7e67f6a537bf36c0fcc5,1
aprime_0133_d4f8f68c88ba,aprime_global_6e9ea73963b6fad8d890,6e9ea73963b6fad8d890c8589b036c5a6a3fac4d49d91de79ac7c037e48ec792,1
aprime_0134_3c451313bfec,aprime_global_808490a3ad5e1cade7d0,808490a3ad5e1cade7d0d4f42377b4da556edd2f691d81dae2aab3416623d91a,1
aprime_0135_2347acb2f00b,aprime_global_eba9d0313bd2b73660d1,eba9d0313bd2b73660d1129d6331e0f2cb09c6f92e27e0030b398f1e293b87b1,1
aprime_0136_1d0c4fd55375,aprime_global_8967363a09484ca7820f,8967363a09484ca7820fc4cb23d616c97b9730adf90d322f8ee6804d9a4107e8,1
aprime_0137_0db624ebcb90,aprime_global_aa63f0d709d726be1239,aa63f0d709d726be123968c4a84ba3608441da8d8008ec95f5d5087a22c9eab9,1
aprime_0138_3aa3e7c456ee,aprime_global_3abded57eadd7aab88e1,3abded57eadd7aab88e1345b6d4c15de9fd3dc5ef23951d72d2b86ddc6cc61ef,1
aprime_0139_ac58d00f389e,aprime_global_1cd85e17104b40001854,1cd85e17104b40001854bf4b4f98ceb8a8c743e0316d090077db076db79dfe58,1
aprime_0140_06175ab981e6,aprime_global_7a8d6f05d5051c1f037f,7a8d6f05d5051c1f037f2406148f1dc4cc9867a4d9d45f785d318a83819ec087,1
aprime_0141_df3cb4cf5301,aprime_global_654f912a2cd19a276f94,654f912a2cd19a276f94a626aa7a7b77e20f5e85a1c3a8173894ac155e64ad62,1
aprime_0143_15597a02f452,aprime_global_87b342e26c4924b7d783,87b342e26c4924b7d783d41219169bfde63dc3e0fbfd979f872f1542c1f7f14f,1
aprime_0144_3ef89fa4bfb9,aprime_global_dca10ae9b99cdc338028,dca10ae9b99cdc338028b2e65bc5e69b47e91fea778cdc42e4b7df0b30279e3d,1
aprime_0145_0a1183a4420d,aprime_global_093460a192a474dc928b,093460a192a474dc928b0695d88db27d823e32df10e20078b67370a85fe6630f,1
aprime_0146_407f0a18843f,aprime_global_2738b7ed247f0c12e771,2738b7ed247f0c12e7717ba53beb28438c0c9346cbd2345d37093715f0322efc,1
aprime_0147_e77de5e80729,aprime_global_f8f054a10f552eb4686f,f8f054a10f552eb4686ff07c24bae950de59ff2f56465c332eac391b3a64f803,1
aprime_0149_e2499348a3e4,aprime_global_e46b4e1c8913d24eb937,e46b4e1c8913d24eb937200b9bcc4033ef64b8aba6a0a9c4490cb17d7e5641dc,1
aprime_0150_be0a0e2f9217,aprime_global_63a10030a55f6dfcc938,63a10030a55f6dfcc938f056d1daa46d5976e5b46432ddbb39123ea41473499b,1
aprime_0155_e80e38ceb0a1,aprime_global_54c02ad19c252467a63e,54c02ad19c252467a63e72d40bf74c4db70482ead67993d0f7be31ca3bcccbd6,1
aprime_0157_f644674b7f1b,aprime_global_fa45c94effd204639c11,fa45c94effd204639c11371f5c6dddecf4a74ef387df73aa7bb07571733f3fd1,1
aprime_0158_2e89fd88cffe,aprime_global_7d8c176131feb131fb73,7d8c176131feb131fb73fadc057de7634b242271b35e02024c2b6095544d96f7,1
aprime_0159_42c1983bce64,aprime_global_4d47d32060cad1b6337c,4d47d32060cad1b6337c8fff1264fd21ded56f82eaf1bf5b5ebeb218b8928148,1
aprime_0160_3a79b0f3a5c8,aprime_global_4116c5ccc45f79e622b7,4116c5ccc45f79e622b7f884980af490d0e6a0a2867b533f7514986ac1042249,1
aprime_0161_8a7aad56318a,aprime_global_bafc2856a0cf971be4b7,bafc2856a0cf971be4b726f87d9a2df631bba6b226dd7f46e3afae738517319a,1
aprime_0163_966da187949b,aprime_global_50eaa8d725b5d5a89a4b,50eaa8d725b5d5a89a4bfceb2e3959f2a654edfc01c2524f8c78b7c5878cb621,1
aprime_0164_d862c130cd9f,aprime_global_e8a12099c8285a8bf24a,e8a12099c8285a8bf24a28fb7867fe08ee453740a611cd17a617e5ed96030ced,1
aprime_0165_885e0aa7efcd,aprime_global_425b7b6aa6cad2e2c86d,425b7b6aa6cad2e2c86d54edd75a720c70fa45315c12eda40928f080344b1dba,1
aprime_0166_38c774b611f5,aprime_global_0773f1863a922090cd44,0773f1863a922090cd44d166509cb910b8cfcbc832f46cae6bce2df35c96e585,1
aprime_0167_57dbf48ee9ac,aprime_global_c59ecfc23097ea2d85d2,c59ecfc23097ea2d85d2bb9ce8aa217068384338e29311d28f3bac8b00577e2c,1
