source_path,corpus,source_family,prompt_id,condition,arm,rep,attempt,seed,requested_vocal,present,type_correct,ledger_path,size_bytes
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0010/a1_r1_t03_seed2026328103.flac,PH2_ONLINE,online_run,held_out_0010,arm1,1,1,3,2026328103,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w10.jsonl,6729390
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0010/a6_r0_t04_seed2026328004.flac,PH2_ONLINE,online_run,held_out_0010,arm6,6,0,4,2026328004,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w10.jsonl,6303496
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0010/a6_r1_t03_seed2026328103.flac,PH2_ONLINE,online_run,held_out_0010,arm6,6,1,3,2026328103,0,0,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w10.jsonl,6729390
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0011/a1_r0_t03_seed2026329003.flac,PH2_ONLINE,online_run,held_out_0011,arm1,1,0,3,2026329003,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w11.jsonl,11361449
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0011/a1_r1_t02_seed2026329102.flac,PH2_ONLINE,online_run,held_out_0011,arm1,1,1,2,2026329102,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w11.jsonl,13656574
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0011/a6_r0_t05_seed2026329005.flac,PH2_ONLINE,online_run,held_out_0011,arm6,6,0,5,2026329005,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w11.jsonl,14179388
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0011/a6_r1_t02_seed2026329102.flac,PH2_ONLINE,online_run,held_out_0011,arm6,6,1,2,2026329102,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w11.jsonl,13656574
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0012/a1_r0_t04_seed2026330004.flac,PH2_ONLINE,online_run,held_out_0012,arm1,1,0,4,2026330004,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w12.jsonl,5997448
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0012/a1_r1_t01_seed2026330101.flac,PH2_ONLINE,online_run,held_out_0012,arm1,1,1,1,2026330101,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w12.jsonl,6535022
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0012/a6_r0_t04_seed2026330004.flac,PH2_ONLINE,online_run,held_out_0012,arm6,6,0,4,2026330004,1,1,1,orbit-research/adsr_phase2_20260604/batch3/online_run/ledger_w12.jsonl,5997448
