media_sha256,audioset_human_voice_score,audioset_top_human_voice_class,windows,score_source,old_audioset_vocal_score,old_audioset_top_vocal_class,was_rescored
0b8fdaaf6687e62893036423ee2a517ff1b61dea3cb22f6aa28248cf5764f4d7,0.024302970618009567,Speech,12,v1_superset_max_is_exact_whitelist_member,0.024302970618009567,Speech,0
0ba9d5abb9de6bf902518717244346f64c727b141023b64b0dfcf1a5549c3472,0.10677099227905273,Singing,6,v1_superset_max_is_exact_whitelist_member,0.10677099227905273,Singing,0
0be1568604438fe5a1c22fb8d55f80915bfcdc806dfa719d9f56d70b458262f1,0.06289272010326385,Singing,7,v1_superset_max_is_exact_whitelist_member,0.06289272010326385,Singing,0
0c0739c380bbc4d7824e3dd4248d47330831738b27352ac349ec34bbb7e03ed7,0.2352728396654129,Speech,14,v1_superset_max_is_exact_whitelist_member,0.2352728396654129,Speech,0
0c62a3bbf53d649b5fa1528b22f83ca0524ad7ce93c8a9eb195ad7388540c9bf,0.03225077688694,Speech,8,v1_superset_max_is_exact_whitelist_member,0.03225077688694,Speech,0
0c83890a55f7b6af78e225aab5f9cd2f438fc506986cbc49f5a95fbb3b435f28,0.13943113386631012,Speech,6,v1_superset_max_is_exact_whitelist_member,0.13943113386631012,Speech,0
0cc2ab417e0bbcd658423d922d1893fec0f09d2b053eb876ecc13fb6501fcb46,0.15734632313251495,Speech,12,v1_superset_max_is_exact_whitelist_member,0.15734632313251495,Speech,0
0d0397b00348f8715b2bfebe970d7a0c1c4df5a112a714248b9879f18ba5c268,0.22411079704761505,Speech,8,v1_superset_max_is_exact_whitelist_member,0.22411079704761505,Speech,0
0d688cc6156526a8e47fd846efb2652941ee2cf2191395561448d641d1710d40,0.20084954798221588,Speech,8,v1_superset_max_is_exact_whitelist_member,0.20084954798221588,Speech,0
0d6a67da7efe989d63c521e26eb861b4a07ce137df4335b720f596c1a6edb924,0.5268846750259399,Speech,8,v1_superset_max_is_exact_whitelist_member,0.5268846750259399,Speech,0
0e2d8caebb7e1b78d667b62bf8f03c9ed06f2f1d364bd74df305daa290516bee,0.1861180067062378,Speech,6,v1_superset_max_is_exact_whitelist_member,0.1861180067062378,Speech,0
0eae87a2a78cd3185d753d9825e7c01b0f9c0a8c9391d6a9cb969e674f846929,0.17970798909664154,Speech,14,v1_superset_max_is_exact_whitelist_member,0.17970798909664154,Speech,0
0ec0acf77aca7657d29ac1825eebf57bfd9ee05dd922196a0d55a4539997ec67,0.0625629723072052,Speech,12,v1_superset_max_is_exact_whitelist_member,0.0625629723072052,Speech,0
0f08e7743a954fae0503210a4e390c374500761d1552d5f2a91585b7846279c5,0.4362812340259552,Speech,12,v1_superset_max_is_exact_whitelist_member,0.4362812340259552,Speech,0
0f69ccc1d27542645be89606db0e823b14ed71c711005d5001f607b366714916,0.16779577732086182,Speech,12,v1_superset_max_is_exact_whitelist_member,0.16779577732086182,Speech,0
0fb050fc65d29c923ed83b668ea2ae989e9e5770f38692894b05446694a34bd7,0.057332757860422134,Singing,7,v1_superset_max_is_exact_whitelist_member,0.057332757860422134,Singing,0
111df2b37d14fdcc0d514971dd1db3f1955d7b218058c36c27245fbc10cf765d,0.09054774791002274,Speech,5,v1_superset_max_is_exact_whitelist_member,0.09054774791002274,Speech,0
113b6919d8e1bee993f72a5ab5f06f70074885b4e6217f4911c236ae0260753a,0.07186435163021088,Speech,6,v1_superset_max_is_exact_whitelist_member,0.07186435163021088,Speech,0
115153b56b02c878ba6c0800c74027e1d76c1f55b5bd4d9ac847e0ad7645c13d,0.17200113832950592,Speech,12,v1_superset_max_is_exact_whitelist_member,0.17200113832950592,Speech,0
11abd3c762098df6c83e81d8fdecdc1f0c6e1daa17944a83dbf5fba07aac0150,0.09171479195356369,Speech,14,v1_superset_max_is_exact_whitelist_member,0.09171479195356369,Speech,0
12a3845bf5307c9fd8ed3ea947e6e6a3078dbf9e8a98e4855817186ca365da77,0.1417836993932724,Singing,7,v1_superset_max_is_exact_whitelist_member,0.1417836993932724,Singing,0
12cebbf9b32c24f355e6590f0ac78d3ce6ecc507378b1683bc5e99dd6d00034f,0.058607470244169235,Singing,12,v1_superset_max_is_exact_whitelist_member,0.058607470244169235,Singing,0
13c60f292641de33910678faab748020f43c62d3fa22c87f9e77b59e35b893ae,0.2832605540752411,Rapping,7,v1_superset_max_is_exact_whitelist_member,0.2832605540752411,Rapping,0
1426952fde5ee32322b6b5525fa11fa62090754d894e463736d61e7971dab624,0.2681775689125061,Speech,12,v1_superset_max_is_exact_whitelist_member,0.2681775689125061,Speech,0
144a764c31217dcbfe23fd8320891be63cb2c0dab010a56c9b14c87160900cbf,0.18012107908725739,Singing,8,v1_superset_max_is_exact_whitelist_member,0.18012107908725739,Singing,0
15161bf19ca3ca49a751fa49fa9550eacf7908345f0c98de84bebdc54b8e33ce,0.10226824134588242,Singing,8,v1_superset_max_is_exact_whitelist_member,0.10226824134588242,Singing,0
165cfe311ace97f07588de4e2f6d74a8fa08b6951d8bc6e452d6601a2ee2fdd6,0.1769496649503708,Speech,13,v1_superset_max_is_exact_whitelist_member,0.1769496649503708,Speech,0
166ddb24d974600483d9fc3898058760bd29cd0273827dbe6845f9c79e5e0f42,0.04717583954334259,Singing,6,v1_superset_max_is_exact_whitelist_member,0.04717583954334259,Singing,0
16efe2d3dcc4b7dff1fd0782303ad4c77fbe81bb0220e22f7f6450f74d6a7d83,0.113975390791893,Speech,8,v1_superset_max_is_exact_whitelist_member,0.113975390791893,Speech,0
1722830beca5840d75087bcb17121bd7cc9d3f63cd3c48b623c3ac857663734f,0.04903366416692734,Speech,6,v1_superset_max_is_exact_whitelist_member,0.04903366416692734,Speech,0
17672de94fead7020102e4e79f105f836963c27788de8e88a12d3c1d6c05b1c8,0.0017930739559233189,Speech,6,rescored_exact_human_voice_whitelist,0.010037328116595745,Whale vocalization,1
17b10dba7671dec36d9d4443c9476ba9a7e56374d7b70b44621062c11c5628fc,0.029565244913101196,Speech,7,v1_superset_max_is_exact_whitelist_member,0.029565244913101196,Speech,0
17e8a988541c1e161cc1911b7a3ed44534d933036b3a7a9ae80ba75d057a3944,0.4477449059486389,Speech,12,v1_superset_max_is_exact_whitelist_member,0.4477449059486389,Speech,0
181c0377746360d5ed6cc33ebadedafdf704bc3cd763b7f0e765ed4673f429c6,0.10116404294967651,Singing,8,rescored_exact_human_voice_whitelist,0.1400137096643448,Singing bowl,1
183882d1edd62895796a1d92ddb201b4ac314997a44ecda5e6639fee68b54e6a,0.6100080609321594,Speech,7,v1_superset_max_is_exact_whitelist_member,0.6100080609321594,Speech,0
1854db00fe67390a76a58f3b62658b972b26c399a07e0fd6061f8120b468a5e9,0.11590120196342468,Singing,8,v1_superset_max_is_exact_whitelist_member,0.11590120196342468,Singing,0
18933db51229a66f12f3faf8731b7ae191e6fbc71767e3682a6a34f8496fa5b4,0.22400274872779846,Speech,13,v1_superset_max_is_exact_whitelist_member,0.22400274872779846,Speech,0
19a48c8bf8da15bfe745ed244cab18f4bf5c3188d9a1589307dd8a13066a0e83,0.10359683632850647,Speech,14,v1_superset_max_is_exact_whitelist_member,0.10359683632850647,Speech,0
