schedule,compute_fraction,selection_metric,evaluation_metric,stratum,n_prompt_evals,reward_fraction,winner_match,mean_regret,median_regret
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,aesthetic_cu,vocal,316,0.9992609009391279,0.9493670886075949,0.005732660052142566,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,aesthetic_cu,vocal,31600,0.9678212569911921,0.2474367088607595,0.24958737514441526,0.15702486038208008
full_bon8,1.0,common_robust_lcb,semantic_fit,vocal,316,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,semantic_fit,vocal,316,0.9236301181969454,0.49683544303797467,0.03424079013587553,0.0005283057689666748
bon4_random_subset,0.5,common_robust_lcb,semantic_fit,vocal,31600,0.9220007652735411,0.5020886075949367,0.03497131806377563,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,semantic_fit,vocal,316,0.8105048925393216,0.189873417721519,0.08496100888395965,0.07215011119842529
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,semantic_fit,vocal,316,0.8188578013467869,0.22151898734177214,0.08121594354212638,0.06908077001571655
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,semantic_fit,vocal,316,0.9650518156754171,0.7056962025316456,0.015669180268916904,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,semantic_fit,vocal,316,0.9650518156754171,0.7056962025316456,0.015669180268916904,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,semantic_fit,vocal,316,0.9675556447859646,0.7310126582278481,0.014546576893263602,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,semantic_fit,vocal,31600,0.8228580463472416,0.24718354430379746,0.07942241517310414,0.060776203870773315
full_bon8,1.0,common_robust_lcb,lyric_intelligibility,vocal,316,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,lyric_intelligibility,vocal,316,0.7919432933583275,0.6550632911392406,0.1159829340032276,0.0
bon4_random_subset,0.5,common_robust_lcb,lyric_intelligibility,vocal,31600,0.8054673464030024,0.4962025316455696,0.10844383864285476,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,lyric_intelligibility,vocal,316,0.6691412116156173,0.2721518987341772,0.18443997137599422,0.04257246376811591
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,lyric_intelligibility,vocal,316,0.6906289960974524,0.3291139240506329,0.17246142797953207,0.0
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,lyric_intelligibility,vocal,316,0.9313361510230234,0.8132911392405063,0.0382772312070672,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,common_robust_lcb,lyric_intelligibility,vocal,316,0.9313361510230234,0.8132911392405063,0.0382772312070672,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,common_robust_lcb,lyric_intelligibility,vocal,316,0.9462008482899299,0.8544303797468354,0.02999078262334131,0.0
random_prune_keep4_keep2,0.5,common_robust_lcb,lyric_intelligibility,vocal,31600,0.5975390648290791,0.2509493670886076,0.22435518102859717,0.09999999999999998
full_bon8,1.0,common_robust_lcb,section_coherence,vocal,316,1.0,1.0,0.0,0.0
bon4_first4,0.5,common_robust_lcb,section_coherence,vocal,316,0.9965403325597801,0.48417721518987344,0.0033466112387331225,0.0003381073474884033
bon4_random_subset,0.5,common_robust_lcb,section_coherence,vocal,31600,0.9966182747100547,0.5026898734177215,0.0032712161088291605,0.0
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,common_robust_lcb,section_coherence,vocal,316,0.9923938980078048,0.2310126582278481,0.007357547177544123,0.005763530731201172
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,common_robust_lcb,section_coherence,vocal,316,0.9934440946834238,0.31329113924050633,0.006341669189779064,0.004359692335128784
raw_schedule_c_sigma0.8_top6,0.85,common_robust_lcb,section_coherence,vocal,316,0.9983274545583759,0.6835443037974683,0.0016178894269315502,0.0
