schedule,compute_fraction,metric,stratum,n_prompt_evals,reward_fraction,mean_selected_reward,mean_full_bon8_reward,winner_match,top2_all_retention,top2_any_retention,top4_all_retention,top4_any_retention,false_negative_top1_prompt_rate,false_negative_top2_candidate_rate,mean_regret,median_regret
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,aesthetic_pq,instrumental,196,0.9918274139939288,7.7846004184411495,7.8487449616801985,0.7193877551020408,0.3673469387755102,0.8826530612244898,0.0,0.9846938775510204,0.28061224489795916,0.375,0.06414454323904854,0.0
raw_schedule_c_sigma0.8_top6,0.85,aesthetic_pq,instrumental,196,0.9994851449182904,7.844703995451635,7.8487449616801985,0.9540816326530612,0.8724489795918368,0.9948979591836735,0.576530612244898,1.0,0.04591836734693878,0.0663265306122449,0.0040409662285629585,0.0
raw_bottom_prune_sigma0.8_remove_bottom25,0.85,aesthetic_pq,instrumental,196,0.9994851449182904,7.844703995451635,7.8487449616801985,0.9540816326530612,0.8724489795918368,0.9948979591836735,0.576530612244898,1.0,0.04591836734693878,0.0663265306122449,0.0040409662285629585,0.0
raw_bottom_prune_sigma0.7_remove_bottom25,0.8833333333333333,aesthetic_pq,instrumental,196,0.999657237939848,7.846054709687525,7.8487449616801985,0.9642857142857143,0.9336734693877551,1.0,0.673469387755102,1.0,0.03571428571428571,0.03316326530612245,0.00269025199267329,0.0
random_prune_keep4_keep2,0.5,aesthetic_pq,instrumental,19600,0.9516622894006921,7.469354599154725,7.8487449616801985,0.2503061224489796,0.036989795918367346,0.4683163265306122,0.0,0.7871938775510204,0.7496938775510205,0.7473469387755102,0.3793903625254728,0.2607564926147461
full_bon8,1.0,aesthetic_pq,vocal_scorable,282,1.0,7.97740500531298,7.97740500531298,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
bon4_first4,0.5,aesthetic_pq,vocal_scorable,282,0.9841195806046886,7.850720468142354,7.97740500531298,0.4787234042553192,0.15602836879432624,0.776595744680851,0.0035460992907801418,0.9787234042553191,0.5212765957446809,0.5336879432624113,0.12668453717062658,0.010362625122070312
bon4_random_subset,0.5,aesthetic_pq,vocal_scorable,28200,0.9848451375535786,7.856508529778068,7.97740500531298,0.4970921985815603,0.21315602836879433,0.7813120567375886,0.014893617021276596,0.9863475177304964,0.5029078014184397,0.5027659574468085,0.12089647553491255,0.0016837120056152344
raw_schedule_a_sigma0.9_top4_sigma0.7_top2,0.5,aesthetic_pq,vocal_scorable,282,0.9884116672116788,7.884960181324194,7.97740500531298,0.5602836879432624,0.1773049645390071,0.8014184397163121,0.0,0.950354609929078,0.4397163120567376,0.5106382978723404,0.09244482398878598,0.0
raw_schedule_b_sigma0.8_top4_sigma0.7_top2,0.5833333333333334,aesthetic_pq,vocal_scorable,282,0.9928473241763895,7.920345213396329,7.97740500531298,0.6702127659574468,0.24113475177304963,0.8723404255319149,0.0,0.9858156028368794,0.32978723404255317,0.4432624113475177,0.05705979191665108,0.0
raw_schedule_c_sigma0.8_top6,0.85,aesthetic_pq,vocal_scorable,282,0.9993526457171563,7.972240798016812,7.97740500531298,0.9468085106382979,0.8829787234042553,0.9964539007092199,0.599290780141844,1.0,0.05319148936170213,0.06028368794326241,0.00516420729616855,0.0
