prompt_id,root_index,checkpoint_step,oracle_action,oracle_cqs,oracle_cost_nfe,oracle_output_sha256,oracle_level,oracle_selected,oracle_success_count,oracle_option_value,stratum,design_weight,best_static_program,best_static_cqs,best_static_nfe,oracle_tree_nfe,oracle_minimum_success_nfe,oracle_cheapest_successful,oracle_quality_floor_failures,oracle_completion,compute_saving,matched_oracle_nfe,nonstatic_program
dev_0221,1,,,1,90,,per_root_feasible_subset,root1_step6_SWITCH_CONDITION;root1_step6_RESTART_CONDITIONED,2,25.37374416994521,,,,,,,,,,,,,
dev_0254,0,6,SWITCH_CONDITION,1,45,7c69aa31be64fd27f681fde32a6a76dc6cb28d898f7209de4e29b0648af90729,,,,,,,,,,,,,,,,,
dev_0254,0,12,RESTART_CONDITIONED,1,62,949de2ec05d87001b35b58c56c122e192496dc1feab50a95d5c2f34df06e64c5,,,,,,,,,,,,,,,,,
dev_0254,0,18,RESTART_CONDITIONED,1,74,da6f69b1c595a1e4b309f9907440bd0b4367ead70b06b1916b3956a36f7438e6,,,,,,,,,,,,,,,,,
dev_0254,1,6,SWITCH_CONDITION,1,45,d0b413ade7d2196d867ec9606ce7ee89df346556e95778ef1971d16316ca848b,,,,,,,,,,,,,,,,,
dev_0254,1,12,SWITCH_CONDITION,1,45,4bb158cb05b6b29d45b0b290dbbbae8b06b84ebbece61adcea18033f8ab6d29f,,,,,,,,,,,,,,,,,
dev_0254,1,18,RESTART_BASE,1,74,4b932fe58697e59021bd58dd676008769c8062ad6a37a283f212ae8e60ced960,,,,,,,,,,,,,,,,,
dev_0254,0,,,1,90,,per_root_feasible_subset,root0_step18_SWITCH_CONDITION;root0_step18_RESTART_CONDITIONED,1,34.00609278267979,,,,,,,,,,,,,
dev_0254,1,,,1,84,,per_root_feasible_subset,root1_step6_SWITCH_CONDITION;root1_step12_SWITCH_CONDITION,2,37.80666647815223,,,,,,,,,,,,,
dev_0010,0,6,RESTART_CONDITIONED,0,51,dbd206a97f405773ed401e9620bab24f6d12b61315a2c174719517ce8c0c2f8b,,,,,,,,,,,,,,,,,
dev_0010,0,12,RESTART_BASE,1,62,4db22a16d90b89fdf0ffe9779e698a997d408b91e03bcc4925c6be5c51920246,,,,,,,,,,,,,,,,,
dev_0010,0,18,RESTART_CONDITIONED,1,74,5599d7448eed14c68f21b1b23bdcde834e78c64d470489ce318c1680fe7b9556,,,,,,,,,,,,,,,,,
dev_0010,1,6,RESTART_CONDITIONED,0,51,a8cc5406ee8462a6f330325d2f1e3c2324cb6beac70848ddacb23d30e3220f78,,,,,,,,,,,,,,,,,
dev_0010,1,12,RESTART_CONDITIONED,1,62,a79a631e2afccc1b5701204e52269690be060825117d649357cb8e2f9dbd3e9e,,,,,,,,,,,,,,,,,
dev_0010,1,18,RESTART_CONDITIONED,1,74,569dc44209e4bde60f113fcbdf6715008dce59a56b980d63d45f05e8fdec640d,,,,,,,,,,,,,,,,,
dev_0010,0,,,1,62,,per_root_feasible_subset,root0_step12_RESTART_BASE,1,7.58665305103179,,,,,,,,,,,,,
dev_0010,1,,,1,90,,per_root_feasible_subset,root1_step18_SWITCH_CONDITION;root1_step18_RESTART_CONDITIONED,1,18.388510325842727,,,,,,,,,,,,,
dev_0041,0,6,RESTART_CONDITIONED,1,51,06080442f33060f9d40a404b4d6ff4e3663421d1b7b2ee1d5e6eaf2d465b8791,,,,,,,,,,,,,,,,,
dev_0041,0,12,RESTART_BASE,1,62,a798828c18ac7f9d57140ed5fcd706806f44da4977d9a8b25f99d9fb568c0585,,,,,,,,,,,,,,,,,
dev_0041,0,18,RESTART_BASE,0,74,f6109b6f68b37e18fdae4393339d33ab80ef7a32ec8383a258558a0226636ed9,,,,,,,,,,,,,,,,,
dev_0041,1,6,RESTART_BASE,0,51,b6b8db895cb997cdeb9911ef9dbd208a27935b1012157974ad2abc9033358b7f,,,,,,,,,,,,,,,,,
dev_0041,1,12,RESTART_BASE,0,62,af66447c946839f8628a6058241bdf0cb4dfaeebb7cfd9e907d180e6e4667ce5,,,,,,,,,,,,,,,,,
dev_0041,1,18,RESTART_CONDITIONED,0,74,9f4eedccdbffa83941153b713dab294adaaca0b1a9115c88a567c90d1bfe7e78,,,,,,,,,,,,,,,,,
dev_0041,0,,,1,90,,per_root_feasible_subset,root0_step12_RESTART_BASE;root0_step18_SWITCH_CONDITION,1,8.65616923981522,,,,,,,,,,,,,
dev_0041,1,,,0,90,,per_root_feasible_subset,root1_step6_FORK_LATENT;root1_step6_RESTART_BASE,0,2.8150160883387487,,,,,,,,,,,,,
dev_0080,0,6,RESTART_CONDITIONED,1,51,8b05614a805805525120b09f612a3d3ea06ca7888b1fdd96c0479746c08efad5,,,,,,,,,,,,,,,,,
dev_0080,0,12,SWITCH_CONDITION,1,45,5e532af4a8369ee15843b840ba38338d47aa07497eda9cda084355728dbba48f,,,,,,,,,,,,,,,,,
dev_0080,0,18,RESTART_CONDITIONED,1,74,47484d41cf5a8acb55329080b34acda92fba6532ea793a6bfcc98e62ca53426f,,,,,,,,,,,,,,,,,
dev_0080,1,6,FORK_LATENT,1,45,759f4b62c43ea97b6a7318b9e150e543dcbb69354381f144a04826b3429b406a,,,,,,,,,,,,,,,,,
dev_0080,1,12,CONTINUE,1,45,619044bad8b7ad215eb450d3d856f5379bbf1a5429ec1c2cc465c0fed3bb33ae,,,,,,,,,,,,,,,,,
dev_0080,1,18,RESTART_CONDITIONED,1,74,1b0d3a0d6188ff632956013beb93e9493a2c966f08c070482d7bf6823f23ccc0,,,,,,,,,,,,,,,,,
dev_0080,0,,,1,89,,per_root_feasible_subset,root0_base;root0_step12_SWITCH_CONDITION;root0_step18_SWITCH_CONDITION,3,33.52606934805867,,,,,,,,,,,,,
dev_0080,1,,,1,77,,per_root_feasible_subset,root1_base;root1_step18_SWITCH_CONDITION;root1_step18_FORK_LATENT,3,49.07322304648649,,,,,,,,,,,,,
dev_0095,0,6,RESTART_CONDITIONED,1,51,ea70327145b8272d49b327a7401667cb25fb012f1c26231207052c4fab22e264,,,,,,,,,,,,,,,,,
dev_0095,0,12,RESTART_CONDITIONED,1,62,5da97a581c327dae30d3bb5c9869fdc0c686547c369ba16e9ae4c2f2a043f140,,,,,,,,,,,,,,,,,
dev_0095,0,18,RESTART_CONDITIONED,1,74,838b79a0fabadab75073695526f381fc62870d7e69537b5b4c405e03ec6ca885,,,,,,,,,,,,,,,,,
dev_0095,1,6,SWITCH_CONDITION,1,45,bc430ee9d1a0f0575672b2e660fd64e3a70a3254a6559f811e83b1bf56ceb776,,,,,,,,,,,,,,,,,
dev_0095,1,12,RESTART_BASE,1,62,04342e46a2916978a9d9ec40df159a31ee082518eaa48817e3cf49c0a26ddbb8,,,,,,,,,,,,,,,,,
dev_0095,1,18,RESTART_CONDITIONED,1,74,135acfb312f6be138609079f5c015acef96c27f049518517cecb784ca2183c25,,,,,,,,,,,,,,,,,
dev_0095,0,,,1,89,,per_root_feasible_subset,root0_base;root0_step12_FORK_LATENT;root0_step18_FORK_LATENT,3,27.964888117535814,,,,,,,,,,,,,
dev_0095,1,,,1,90,,per_root_feasible_subset,root1_step6_SWITCH_CONDITION;root1_step6_RESTART_BASE,2,37.42246093824342,,,,,,,,,,,,,
dev_0130,0,6,SWITCH_CONDITION,1,45,09e00c6872d787ad3b999517aafbcd7090452a7bb5ecf61edd4caad11e60acd1,,,,,,,,,,,,,,,,,
dev_0130,0,12,SWITCH_CONDITION,1,45,6ca1d15b27a17706097f2bdc6858ab4977e891e8eaedecbbdae5b021e7889ffd,,,,,,,,,,,,,,,,,
dev_0130,0,18,RESTART_CONDITIONED,1,74,367a744e42308f411cf0059c42bb6b898d7e0d3acbb18dcbbd375ccd85a7ff8a,,,,,,,,,,,,,,,,,
