replicate,best_static_cqs,oracle_cqs,oracle_headroom,compute_saving,nonstatic_prompt_share
1387,0.9270459804631608,0.9851618943314904,0.058115913868329594,0.42924439676837617,1.0
1388,0.6490254817116017,0.9417508043936537,0.292725322682052,0.3071909598593277,1.0
1389,0.855363561227824,0.991927268533646,0.136563707305822,0.3962190960288102,1.0
1390,0.6522089557833967,0.8582969391389103,0.2060879833555136,0.30783780145554057,1.0
1391,0.7167256245854521,0.9342250718549635,0.21749944726951143,0.33692691897976007,1.0
1392,0.7651291879870541,0.9278572332616124,0.1627280452745583,0.3559988296730481,1.0
1393,0.6807609287688366,0.8559641726009158,0.1752032438320792,0.3045017156291893,1.0
1394,0.8007269894846163,0.9415812021290406,0.14085421264442433,0.3716750599783184,1.0
1395,0.5415947463444636,0.8041783227188858,0.2625835763744222,0.2511087904219265,1.0
1396,0.7289497289497289,0.9303849303849304,0.20143520143520155,0.3336010154191972,1.0
1397,0.7981594013169464,0.938451317923367,0.1402919166064206,0.365131117343939,1.0
1398,0.8786589942456844,0.9912434325744308,0.11258443832874643,0.4079195760456707,1.0
1399,0.7403468618668982,0.9295621806128288,0.18921531874593056,0.33473748594203184,1.0
1400,0.7702544901855387,0.9922151581991066,0.22196066801356784,0.3596091402804902,1.0
1401,0.8324675324675324,1.0,0.16753246753246764,0.3864951931185697,1.0
1402,0.47083422689255844,0.8236114089641862,0.3527771820716277,0.20933168268574656,1.0
1403,0.7509823182711198,1.0,0.24901768172888017,0.3387810323272013,1.0
1404,0.7444739473774958,0.8841339356529536,0.13965998827545778,0.3482580904043713,1.0
1405,0.7661229559940538,1.0,0.23387704400594622,0.3554075793675036,1.0
1406,0.7145755128350965,0.9323171425321352,0.2177416296970387,0.3259471635936202,1.0
1407,0.7737846339304213,0.8813358196304458,0.10755118570002453,0.3585088039232809,1.0
1408,0.7239903322816922,0.868268113134444,0.14427778085275178,0.3315294417580353,1.0
1409,0.7695371775417299,0.9243171471927163,0.1547799696509864,0.36141364326113945,1.0
1410,0.7636163091434658,1.0,0.2363836908565342,0.35067182551208115,1.0
1411,0.8306228490451448,0.990552668871044,0.15992981982589916,0.3741603224361845,1.0
1412,0.8149317837291562,0.9431531076301162,0.12822132390095997,0.37285245073269324,1.0
1413,0.7217954251186879,0.992749244712991,0.2709538195943031,0.33702044179385565,1.0
1414,0.7155403843760556,0.9290628833537788,0.21352249897772324,0.33813601371871144,1.0
1415,0.7084588279296835,0.9297230260438197,0.22126419811413622,0.32233544325317776,1.0
1416,0.7301398171764749,0.8827099584830487,0.15257014130657376,0.3353293514520777,1.0
1417,0.7799858055358412,1.0,0.22001419446415882,0.3444710718663877,1.0
1418,0.7279009501871581,0.9265764468758998,0.19867549668874174,0.33230000635701756,1.0
1419,0.7329861174787726,0.8844651469860073,0.15147902950723469,0.3208993046235614,1.0
1420,0.8542330429658004,1.0,0.14576695703419962,0.4043000959334593,1.0
1421,0.7529067001579419,0.9400582291488269,0.18715152899088494,0.3422458875447401,1.0
1422,0.8530910835282125,1.0,0.1469089164717875,0.3927156072326066,1.0
1423,0.7828411065080849,0.9919818254710677,0.2091407189629828,0.35300967908210995,1.0
1424,0.6974612129760227,0.9777856135401974,0.28032440056417474,0.3303949224259521,1.0
1425,0.7775146453944909,0.9171132992646143,0.13959865387012338,0.3602370457661495,1.0
1426,0.6085149893399469,0.922333898968803,0.31381890962885617,0.2714625039060491,1.0
1427,0.7130994588542638,0.9843254338495988,0.27122597499533496,0.3365765322566965,1.0
1428,0.8425528418544461,0.9913727584577778,0.14881991660333171,0.3780319058547598,1.0
1429,0.7993969659851127,0.9406388391595213,0.14124187317440862,0.36971467240005823,1.0
1430,0.6726233540732166,0.8708580523802634,0.19823469830704676,0.31206179871351336,1.0
1431,0.7985095224951697,0.9834391388352194,0.18492961634004967,0.3729652902989916,1.0
1432,0.7240289718283851,0.8621170773744794,0.1380881055460943,0.3300134115018084,1.0
1433,0.7554140127388536,0.9910828025477707,0.23566878980891715,0.34393746381007523,1.0
1434,0.6406975383294972,0.9385557679553701,0.29785822962587294,0.29478513138248635,1.0
1435,0.7337024329382408,0.868995633187773,0.13529320024953218,0.3313425112005898,1.0
1436,0.6523812216128607,0.9327189461186182,0.28033772450575745,0.3071456351266381,1.0
1437,0.8202083883876325,0.9920721809052815,0.17186379251764894,0.37966617360894234,1.0
1438,0.7199239275350952,0.9917653517371187,0.2718414242020235,0.32034296775297477,1.0
1439,0.7375629256736748,0.9261548711874444,0.18859194551376968,0.33531644547338946,1.0
1440,0.7418291145378721,0.9307535641547862,0.18892444961691401,0.34110702603574294,1.0
1441,0.7617178852462316,0.9112479623256655,0.1495300770794339,0.3572319829338485,1.0
1442,0.7945863852202165,0.9919257165926524,0.19733933137243587,0.37931655210621706,1.0
1443,0.7143268676781256,0.9314384482427501,0.21711158056462454,0.33521396022836386,1.0
1444,0.6866941722537391,0.941980402269211,0.2552862300154719,0.3123396716743802,1.0
1445,0.7843544673443027,0.917448194530241,0.13309372718593826,0.36594648682591624,1.0
1446,0.6158228429660939,0.9421115501240467,0.3262887071579528,0.28749258643589254,1.0
1447,0.7208297006684103,0.8779424585876199,0.15711275791920953,0.33837448151964283,1.0
1448,0.6695078131528369,0.9254199047380296,0.2559120915851927,0.30294294157417745,1.0
1449,0.8599065402588412,0.9313474740870368,0.07144093382819561,0.39537701198053876,1.0
1450,0.7802032650147469,1.0,0.2197967349852531,0.3657583328921459,1.0
1451,0.8171049089114241,0.9359238984115588,0.1188189895001347,0.37791928075514175,1.0
1452,0.691190852328293,0.9170616113744074,0.22587075904611442,0.31526504038352376,1.0
1453,0.8501147032174734,0.9838066045919843,0.13369190137451092,0.40695720141674685,1.0
1454,0.7588763309953847,1.0,0.24112366900461535,0.35807616448674706,1.0
1455,0.7660857030533351,0.8820600183462194,0.11597431529288427,0.34705158555243737,1.0
1456,0.7094444979301049,0.983825936266487,0.27438143833638207,0.3234909020891499,1.0
1457,0.6958145623965192,0.9312694928959224,0.23545493049940325,0.32108365624595264,1.0
1458,0.6918465227817747,0.876037631433315,0.18419110865154031,0.3098447116432729,1.0
1459,0.875269582230918,1.0,0.124730417769082,0.3910372372141721,1.0
1460,0.7574030307243154,0.9749756707910469,0.2175726400667315,0.35317886617761496,1.0
1461,0.7895357199936072,0.9916093974748282,0.20207367748122107,0.3697304473535095,1.0
