replicate,best_static_cqs,promptonly_policy_cqs,promptstate_policy_cqs,state_incremental_value,crossfit_nonstatic_share
295,0.821675285201121,0.827102988197213,0.827102988197213,0.0,0.09108672482532663
296,0.743069873997709,0.7491572574046801,0.7491572574046801,0.0,0.0847259041073474
297,0.6882195448460509,0.6958213807611398,0.6958213807611398,0.0,0.116367055523682
298,0.7730912991405745,0.7772370724260012,0.7772370724260012,0.0,0.1457074795014543
299,0.7317901974894058,0.7394858879027745,0.7394858879027745,0.0,0.05101143359718557
300,0.7698049999031776,0.7768246160996106,0.7768246160996106,0.0,0.1372230075585936
301,0.8540197006886863,0.8638281697944246,0.8638281697944246,0.0,0.11820413211959566
302,0.7239145470372887,0.7458263275259663,0.7458263275259663,0.0,0.08954316173577075
303,0.7483922585041465,0.7560583106698061,0.7560583106698061,0.0,0.12970838580928568
304,0.7176535087719298,0.7290472165049495,0.7290472165049495,0.0,0.07145569930412624
305,0.690398313055251,0.6921954843076996,0.6921954843076996,0.0,0.10687777438312095
306,0.7206620414790759,0.7225071961030333,0.7225071961030333,0.0,0.04979764804290599
307,0.7710639332787604,0.779694747956484,0.779694747956484,0.0,0.04340321030715022
308,0.8063421858426562,0.8063421858426562,0.8063421858426562,0.0,0.1164034929720282
309,0.8408555979643767,0.8444338422391858,0.8444338422391858,0.0,0.06961832061068701
310,0.6200908222422885,0.6313290932171227,0.6313290932171227,0.0,0.17700194992998575
311,0.7140108314324969,0.728417170221564,0.728417170221564,0.0,0.15763936131898032
312,0.7726869726869725,0.7793364793364792,0.7793364793364792,0.0,0.1369262119262119
313,0.8712725798687644,0.8731727090775506,0.8731727090775506,0.0,0.09882572014897013
314,0.839623539263827,0.8469510106200754,0.8469510106200754,0.0,0.14812594368949286
315,0.7889916900638791,0.7981307354576117,0.7981307354576117,0.0,0.12470243142575388
316,0.7937118964459633,0.8044622626156407,0.8044622626156407,0.0,0.11625417808990873
317,0.8334512022630833,0.8385342998585572,0.8385342998585572,0.0,0.048844884488448835
318,0.8041925209689496,0.8077613663760835,0.8077613663760835,0.0,0.12608968746431154
319,0.7418711350488729,0.7468581687612208,0.7468581687612208,0.0,0.20505473647304884
320,0.7775352897473996,0.7846861069836553,0.7846861069836553,0.0,0.08986812778603268
321,0.8848734066385282,0.889855019956645,0.889855019956645,0.0,0.06880362782215942
322,0.828331224635126,0.8370425680487281,0.8370425680487281,0.0,0.11926243959098168
323,0.819399171353178,0.8225334622870175,0.8225334622870175,0.0,0.06832455731871859
324,0.8540685151735224,0.8540685151735224,0.8540685151735224,0.0,0.07833808184825856
325,0.8466126426432179,0.8542277310548733,0.8542277310548733,0.0,0.05820034866568324
326,0.8068000078978025,0.8150927004560982,0.8150927004560982,0.0,0.16500812815500754
327,0.8313191404447436,0.8371185193499706,0.8371185193499706,0.0,0.07755266210199423
328,0.8475538896613801,0.8495690842284156,0.8495690842284156,0.0,0.09883185888264177
