prompt_id,stratum,design_weight,checkpoint_step,fold,tier,direction,source_root,target_root,selected_action,selected_predicted_value,all_action_values,target_program_cqs,target_program_nfe
dev_0254,high_risk_instrumental,2.3333333333333335,12,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.7042208523144009,"{""CONTINUE"": 0.13369630724581275, ""FORK_LATENT"": 0.1372408332243003, ""RESTART_BASE"": 0.19231353745965862, ""RESTART_CONDITIONED"": 0.7042208523144009, ""SWITCH_CONDITION"": 0.4526779071027341}",0,90
dev_0254,high_risk_instrumental,2.3333333333333335,18,0,promptstate,root_a_to_b,0,1,RESTART_CONDITIONED,0.7217880017452134,"{""CONTINUE"": 0.16001900634857621, ""FORK_LATENT"": 0.19817164722128008, ""RESTART_BASE"": 0.21980591321898876, ""RESTART_CONDITIONED"": 0.7217880017452134, ""SWITCH_CONDITION"": 0.5038772498459743}",1,90
dev_0010,medium_risk_instrumental,2.0,6,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.734572032296677,"{""CONTINUE"": 0.36670526895981576, ""FORK_LATENT"": 0.36670526895981576, ""RESTART_BASE"": 0.4656294789509514, ""RESTART_CONDITIONED"": 0.734572032296677, ""SWITCH_CONDITION"": 0.5578033584771576}",0,90
dev_0010,medium_risk_instrumental,2.0,12,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.734572032296677,"{""CONTINUE"": 0.36670526895981576, ""FORK_LATENT"": 0.36670526895981576, ""RESTART_BASE"": 0.4656294789509514, ""RESTART_CONDITIONED"": 0.734572032296677, ""SWITCH_CONDITION"": 0.5578033584771576}",0,90
dev_0010,medium_risk_instrumental,2.0,18,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.734572032296677,"{""CONTINUE"": 0.36670526895981576, ""FORK_LATENT"": 0.36670526895981576, ""RESTART_BASE"": 0.4656294789509514, ""RESTART_CONDITIONED"": 0.734572032296677, ""SWITCH_CONDITION"": 0.5578033584771576}",1,90
dev_0011,vocal_request,15.0,6,0,promptonly,root_b_to_a,1,0,RESTART_BASE,0.9248820766549156,"{""CONTINUE"": 0.8130330583327426, ""FORK_LATENT"": 0.8130330583327426, ""RESTART_BASE"": 0.9248820766549156}",0,90
dev_0011,vocal_request,15.0,12,0,promptonly,root_b_to_a,1,0,RESTART_BASE,0.9248820766549156,"{""CONTINUE"": 0.8130330583327426, ""FORK_LATENT"": 0.8130330583327428, ""RESTART_BASE"": 0.9248820766549156, ""SWITCH_CONDITION"": 0.7778780494605101}",0,90
dev_0011,vocal_request,15.0,18,0,promptonly,root_b_to_a,1,0,RESTART_BASE,0.9248820766549156,"{""CONTINUE"": 0.8130330583327426, ""FORK_LATENT"": 0.8130330583327428, ""RESTART_BASE"": 0.9248820766549156, ""SWITCH_CONDITION"": 0.7778780494605101}",0,90
dev_0030,low_risk_instrumental,2.3333333333333335,6,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.838735937389604,"{""CONTINUE"": 0.5612950737842793, ""FORK_LATENT"": 0.5612950737842793, ""RESTART_BASE"": 0.7783432691546146, ""RESTART_CONDITIONED"": 0.838735937389604, ""SWITCH_CONDITION"": 0.6345008071364673}",0,90
dev_0030,low_risk_instrumental,2.3333333333333335,12,0,promptonly,root_b_to_a,1,0,RESTART_CONDITIONED,0.838735937389604,"{""CONTINUE"": 0.5612950737842793, ""FORK_LATENT"": 0.5612950737842793, ""RESTART_BASE"": 0.7783432691546146, ""RESTART_CONDITIONED"": 0.838735937389604, ""SWITCH_CONDITION"": 0.6345008071364673}",0,90
