unit_id,prompt_rank,prompt_id,live_stratum,requested_vocal,policy_index,policy,rep,seed,nominal_step_budget,output_ledger
w2live_12_0_0,12,held_out_0173,instrumental_risk,0,0,no_probe_reseed,0,2035001200,60,live_ledgers/live_w{worker}.jsonl
w2live_12_0_1,12,held_out_0173,instrumental_risk,0,0,no_probe_reseed,1,2035001201,60,live_ledgers/live_w{worker}.jsonl
w2live_12_1_0,12,held_out_0173,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035001200,60,live_ledgers/live_w{worker}.jsonl
w2live_12_1_1,12,held_out_0173,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035001201,60,live_ledgers/live_w{worker}.jsonl
w2live_12_2_0,12,held_out_0173,instrumental_risk,0,2,always_direction_condition,0,2035001200,60,live_ledgers/live_w{worker}.jsonl
w2live_12_2_1,12,held_out_0173,instrumental_risk,0,2,always_direction_condition,1,2035001201,60,live_ledgers/live_w{worker}.jsonl
w2live_12_3_0,12,held_out_0173,instrumental_risk,0,3,corrected_probe_direction_action,0,2035001200,60,live_ledgers/live_w{worker}.jsonl
w2live_12_3_1,12,held_out_0173,instrumental_risk,0,3,corrected_probe_direction_action,1,2035001201,60,live_ledgers/live_w{worker}.jsonl
w2live_13_0_0,13,held_out_0236,instrumental_risk,0,0,no_probe_reseed,0,2035001300,60,live_ledgers/live_w{worker}.jsonl
w2live_13_0_1,13,held_out_0236,instrumental_risk,0,0,no_probe_reseed,1,2035001301,60,live_ledgers/live_w{worker}.jsonl
w2live_13_1_0,13,held_out_0236,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035001300,60,live_ledgers/live_w{worker}.jsonl
w2live_13_1_1,13,held_out_0236,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035001301,60,live_ledgers/live_w{worker}.jsonl
w2live_13_2_0,13,held_out_0236,instrumental_risk,0,2,always_direction_condition,0,2035001300,60,live_ledgers/live_w{worker}.jsonl
w2live_13_2_1,13,held_out_0236,instrumental_risk,0,2,always_direction_condition,1,2035001301,60,live_ledgers/live_w{worker}.jsonl
w2live_13_3_0,13,held_out_0236,instrumental_risk,0,3,corrected_probe_direction_action,0,2035001300,60,live_ledgers/live_w{worker}.jsonl
w2live_13_3_1,13,held_out_0236,instrumental_risk,0,3,corrected_probe_direction_action,1,2035001301,60,live_ledgers/live_w{worker}.jsonl
w2live_14_0_0,14,held_out_0207,instrumental_risk,0,0,no_probe_reseed,0,2035001400,60,live_ledgers/live_w{worker}.jsonl
w2live_14_0_1,14,held_out_0207,instrumental_risk,0,0,no_probe_reseed,1,2035001401,60,live_ledgers/live_w{worker}.jsonl
w2live_14_1_0,14,held_out_0207,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035001400,60,live_ledgers/live_w{worker}.jsonl
w2live_14_1_1,14,held_out_0207,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035001401,60,live_ledgers/live_w{worker}.jsonl
w2live_14_2_0,14,held_out_0207,instrumental_risk,0,2,always_direction_condition,0,2035001400,60,live_ledgers/live_w{worker}.jsonl
w2live_14_2_1,14,held_out_0207,instrumental_risk,0,2,always_direction_condition,1,2035001401,60,live_ledgers/live_w{worker}.jsonl
w2live_14_3_0,14,held_out_0207,instrumental_risk,0,3,corrected_probe_direction_action,0,2035001400,60,live_ledgers/live_w{worker}.jsonl
w2live_14_3_1,14,held_out_0207,instrumental_risk,0,3,corrected_probe_direction_action,1,2035001401,60,live_ledgers/live_w{worker}.jsonl
w2live_15_0_0,15,held_out_0192,instrumental_risk,0,0,no_probe_reseed,0,2035001500,60,live_ledgers/live_w{worker}.jsonl
w2live_15_0_1,15,held_out_0192,instrumental_risk,0,0,no_probe_reseed,1,2035001501,60,live_ledgers/live_w{worker}.jsonl
w2live_15_1_0,15,held_out_0192,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035001500,60,live_ledgers/live_w{worker}.jsonl
w2live_15_1_1,15,held_out_0192,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035001501,60,live_ledgers/live_w{worker}.jsonl
w2live_15_2_0,15,held_out_0192,instrumental_risk,0,2,always_direction_condition,0,2035001500,60,live_ledgers/live_w{worker}.jsonl
w2live_15_2_1,15,held_out_0192,instrumental_risk,0,2,always_direction_condition,1,2035001501,60,live_ledgers/live_w{worker}.jsonl
w2live_15_3_0,15,held_out_0192,instrumental_risk,0,3,corrected_probe_direction_action,0,2035001500,60,live_ledgers/live_w{worker}.jsonl
w2live_15_3_1,15,held_out_0192,instrumental_risk,0,3,corrected_probe_direction_action,1,2035001501,60,live_ledgers/live_w{worker}.jsonl
w2live_16_0_0,16,held_out_0130,instrumental_risk,0,0,no_probe_reseed,0,2035001600,60,live_ledgers/live_w{worker}.jsonl
w2live_16_0_1,16,held_out_0130,instrumental_risk,0,0,no_probe_reseed,1,2035001601,60,live_ledgers/live_w{worker}.jsonl
w2live_16_1_0,16,held_out_0130,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035001600,60,live_ledgers/live_w{worker}.jsonl
w2live_16_1_1,16,held_out_0130,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035001601,60,live_ledgers/live_w{worker}.jsonl
w2live_16_2_0,16,held_out_0130,instrumental_risk,0,2,always_direction_condition,0,2035001600,60,live_ledgers/live_w{worker}.jsonl
w2live_16_2_1,16,held_out_0130,instrumental_risk,0,2,always_direction_condition,1,2035001601,60,live_ledgers/live_w{worker}.jsonl
w2live_16_3_0,16,held_out_0130,instrumental_risk,0,3,corrected_probe_direction_action,0,2035001600,60,live_ledgers/live_w{worker}.jsonl
w2live_16_3_1,16,held_out_0130,instrumental_risk,0,3,corrected_probe_direction_action,1,2035001601,60,live_ledgers/live_w{worker}.jsonl
w2live_17_0_0,17,held_out_0161,instrumental_risk,0,0,no_probe_reseed,0,2035001700,60,live_ledgers/live_w{worker}.jsonl
w2live_17_0_1,17,held_out_0161,instrumental_risk,0,0,no_probe_reseed,1,2035001701,60,live_ledgers/live_w{worker}.jsonl
w2live_17_1_0,17,held_out_0161,instrumental_risk,0,1,corrected_probe_abort_reseed,0,2035001700,60,live_ledgers/live_w{worker}.jsonl
w2live_17_1_1,17,held_out_0161,instrumental_risk,0,1,corrected_probe_abort_reseed,1,2035001701,60,live_ledgers/live_w{worker}.jsonl
