task_id,prompt_rank,prompt_id,condition,seed_idx,seed,cfg_scale,duration_seconds,inference_steps,neutral_insertion,neutral_full_text_sha256,generation_config_sha256,output_path
neutral_control_05_00,5,held_out_0156,neutral_matched,0,2071005000,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1119cfd5fad2e9399c297d775e27064fe4db7a68656d9f8a8743ff57d7c226ba,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s00_2071005000.flac
neutral_control_05_01,5,held_out_0156,neutral_matched,1,2071005001,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1119cfd5fad2e9399c297d775e27064fe4db7a68656d9f8a8743ff57d7c226ba,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s01_2071005001.flac
neutral_control_05_02,5,held_out_0156,neutral_matched,2,2071005002,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1119cfd5fad2e9399c297d775e27064fe4db7a68656d9f8a8743ff57d7c226ba,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s02_2071005002.flac
neutral_control_05_03,5,held_out_0156,neutral_matched,3,2071005003,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1119cfd5fad2e9399c297d775e27064fe4db7a68656d9f8a8743ff57d7c226ba,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s03_2071005003.flac
neutral_control_05_04,5,held_out_0156,neutral_matched,4,2071005004,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1119cfd5fad2e9399c297d775e27064fe4db7a68656d9f8a8743ff57d7c226ba,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s04_2071005004.flac
neutral_control_05_05,5,held_out_0156,neutral_matched,5,2071005005,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1119cfd5fad2e9399c297d775e27064fe4db7a68656d9f8a8743ff57d7c226ba,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s05_2071005005.flac
neutral_control_05_06,5,held_out_0156,neutral_matched,6,2071005006,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1119cfd5fad2e9399c297d775e27064fe4db7a68656d9f8a8743ff57d7c226ba,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s06_2071005006.flac
neutral_control_05_07,5,held_out_0156,neutral_matched,7,2071005007,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",1119cfd5fad2e9399c297d775e27064fe4db7a68656d9f8a8743ff57d7c226ba,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0156/neutral_matched_s07_2071005007.flac
neutral_control_06_00,6,held_out_0253,neutral_matched,0,2071006000,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",6e3a8c304a8b25ea628377bbb32d9114f3892f21adf5da1cb6633b3e8fea13fe,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s00_2071006000.flac
neutral_control_06_01,6,held_out_0253,neutral_matched,1,2071006001,5.0,15.0,30,"studio recording, carefully produced, cleanly mixed, balanced acoustics",6e3a8c304a8b25ea628377bbb32d9114f3892f21adf5da1cb6633b3e8fea13fe,f111b24871aa09474f505ac8e484a7d64b650661c944fb88dd6af783846e9348,analysis_exit1_v2/neutral_control/audio/neutral_matched/held_out_0253/neutral_matched_s01_2071006001.flac
