legacy_packet,legacy_row_id,media_class,flip_risk,new_primary_rating_ids,decisive_rating_ids,canonical_conflict,classification
adjudication,ecd650f632,original,no,aprime_0528_0dbe28d0086c,,no,LEGACY_NON_PRIMARY
adjudication,ee1c686eef,original,no,aprime_0178_426aef858d6a,,no,LEGACY_NON_PRIMARY
adjudication,efc9f29abe,original,no,aprime_0480_dde3d7023a12,,no,LEGACY_NON_PRIMARY
adjudication,f12aa92316,original,no,aprime_0148_6322db97e0dc,,no,LEGACY_NON_PRIMARY
adjudication,f4ba2c022f,original,no,aprime_0503_7bde6b74b0bd,,no,LEGACY_NON_PRIMARY
adjudication,f59253d6e0,original,no,aprime_0378_df8ae0b4e89e,,no,LEGACY_NON_PRIMARY
adjudication,f6055b026c,original,no,aprime_0181_4a745e5475ed,,no,LEGACY_NON_PRIMARY
adjudication,f6a675aa1a,original,no,aprime_0475_70f31eededf2,,no,LEGACY_NON_PRIMARY
adjudication,f94b389a30,original,no,aprime_0628_28952d1a4b83,,no,LEGACY_NON_PRIMARY
adjudication,fb046871a7,original,no,aprime_0677_433b5bab9af2,,no,LEGACY_NON_PRIMARY
adjudication,fc14994663,original,no,aprime_0252_b907516a65fc,,no,LEGACY_NON_PRIMARY
adjudication,ff99cc7c12,original,no,aprime_0075_1b2aad741e6c,,no,LEGACY_NON_PRIMARY
rare_basin,ebe9bb7289,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,b7caffd851,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,6edcba0b6c,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,33c9eed219,original,no,aprime_0458_e87ad357f1dc,,no,LEGACY_NON_PRIMARY
rare_basin,923c5f64e1,original,no,aprime_0442_b851c112731a,,no,LEGACY_NON_PRIMARY
rare_basin,14df153618,original,no,aprime_0572_de34dd4a9828,,no,LEGACY_NON_PRIMARY
rare_basin,15d597fdf8,original,no,aprime_0582_8d2153d7e3aa,,no,LEGACY_NON_PRIMARY
rare_basin,86d309e93b,original,no,aprime_0037_7370940bf1a8,,no,LEGACY_NON_PRIMARY
rare_basin,7056d9cbc9,original,no,aprime_0256_ed28eaa9f22c,,no,LEGACY_NON_PRIMARY
rare_basin,eb8a69c4bb,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,1615dd2d17,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,c96ae83403,original,no,aprime_0683_4ccc666fc57d,,no,LEGACY_NON_PRIMARY
rare_basin,78ef8aca62,original,no,aprime_0030_61dd0835fc9a,,no,LEGACY_NON_PRIMARY
rare_basin,c26530bc5e,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,59c330181d,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,eea0a81585,original,no,aprime_0614_0639947cd40b,,no,LEGACY_NON_PRIMARY
rare_basin,e1c09449b3,original,no,aprime_0418_381620104ef8,,no,LEGACY_NON_PRIMARY
rare_basin,a15a44a9dc,original,no,aprime_0206_3e7faf12cf26,,no,LEGACY_NON_PRIMARY
rare_basin,6ba1608eba,original,no,aprime_0087_9db027afddca,,no,LEGACY_NON_PRIMARY
rare_basin,61c39609e6,original,no,aprime_0478_b5689521556c,,no,LEGACY_NON_PRIMARY
rare_basin,94d1f69322,original,no,aprime_0367_865a227d0643,,no,LEGACY_NON_PRIMARY
rare_basin,738f07b3c9,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,4d5901eaee,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,fbc623a9c5,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,29f9799414,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,4d32bb0ea6,regenerated,yes,,decisive_21_61e688012e92,no,LEGACY_NON_PRIMARY
rare_basin,365acd5bd6,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,a5678d87d0,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,50339d0b18,original,no,aprime_0471_c8d3ce354559,,no,LEGACY_NON_PRIMARY
rare_basin,85e22b2802,original,no,aprime_0567_07c3ec3b4c72,,no,LEGACY_NON_PRIMARY
rare_basin,b22b8fc0c4,original,no,aprime_0120_d6228d2f0283,,no,LEGACY_NON_PRIMARY
rare_basin,904cfb5567,original,no,aprime_0452_2a25e418359d,,no,LEGACY_NON_PRIMARY
rare_basin,1cdbebb411,original,no,aprime_0599_fd0ddd8ffc16,,no,LEGACY_NON_PRIMARY
rare_basin,18fd030a7c,original,no,aprime_0621_58e54051eb54,,no,LEGACY_NON_PRIMARY
rare_basin,1704261cb0,regenerated,yes,,decisive_11_a8223b360df8,no,LEGACY_NON_PRIMARY
rare_basin,319e8e2df6,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,e85969841f,regenerated,yes,,decisive_02_9643022ddbf6,no,LEGACY_NON_PRIMARY
rare_basin,b2f6ac09e4,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,8880cf129b,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,68e7809afe,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,c6d2887cf8,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,b70ed32290,original,no,aprime_0301_c2054a7fdca5,,no,LEGACY_NON_PRIMARY
rare_basin,789f80e3f1,original,no,aprime_0474_0952ccd5b41b,,no,LEGACY_NON_PRIMARY
rare_basin,c748394525,original,no,aprime_0356_e96e6b9403ea,,no,LEGACY_NON_PRIMARY
rare_basin,d8f63ba5f0,original,no,aprime_0635_0976fdc8bd3d,,no,LEGACY_NON_PRIMARY
rare_basin,1bfba5cfd7,original,no,aprime_0415_fca707c18fa5,,no,LEGACY_NON_PRIMARY
rare_basin,a924eb3729,original,no,aprime_0151_ba0b2687d533,,no,LEGACY_NON_PRIMARY
rare_basin,dff3291a34,original,no,aprime_0430_f9f21f0c2ce4,,no,LEGACY_NON_PRIMARY
rare_basin,19eb9a5b78,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,6a5179f343,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,b15b6236be,regenerated,yes,,decisive_40_2fbec10d8a00,no,LEGACY_NON_PRIMARY
rare_basin,428182a23c,original,no,aprime_0441_ba8caca5699d,,no,LEGACY_NON_PRIMARY
rare_basin,6a43450649,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,07b882d9bc,regenerated,yes,,,no,LEGACY_NON_PRIMARY
rare_basin,3be39ff2ae,original,no,aprime_0237_5fce794f620c,,no,LEGACY_NON_PRIMARY
