source_path,prompt_id,arm,rep,attempt,seed,requested_vocal,type_correct,prompt_vocal_stratum,clap_score,status,error,elapsed_s,device
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0012/a1_r1_t01_seed2026330101.flac,held_out_0012,1,1,1,2026330101,1,1,vocal,0.15733462572097778,ok,,0.272,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0012/a6_r0_t04_seed2026330004.flac,held_out_0012,6,0,4,2026330004,1,1,vocal,0.45507997274398804,ok,,0.122,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0012/a6_r1_t01_seed2026330101.flac,held_out_0012,6,1,1,2026330101,1,1,vocal,0.1764206737279892,ok,,0.199,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0013/a1_r0_t03_seed2026331003.flac,held_out_0013,1,0,3,2026331003,1,1,vocal,0.2988947033882141,ok,,0.395,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0013/a1_r1_t00_seed2026331100.flac,held_out_0013,1,1,0,2026331100,1,1,vocal,0.2755824327468872,ok,,0.397,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0013/a6_r0_t03_seed2026331003.flac,held_out_0013,6,0,3,2026331003,1,1,vocal,0.5031130313873291,ok,,0.442,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0013/a6_r1_t02_seed2026331102.flac,held_out_0013,6,1,2,2026331102,1,1,vocal,0.3456761837005615,ok,,0.419,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0014/a1_r0_t00_seed2026332000.flac,held_out_0014,1,0,0,2026332000,1,1,vocal,0.30501627922058105,ok,,0.294,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0014/a1_r1_t01_seed2026332101.flac,held_out_0014,1,1,1,2026332101,1,0,vocal,0.5169824361801147,ok,,0.174,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0014/a6_r0_t00_seed2026332000.flac,held_out_0014,6,0,0,2026332000,1,1,vocal,0.3211837708950043,ok,,0.229,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0014/a6_r1_t03_seed2026332103.flac,held_out_0014,6,1,3,2026332103,1,1,vocal,0.31870076060295105,ok,,0.186,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0015/a1_r0_t01_seed2026333001.flac,held_out_0015,1,0,1,2026333001,1,1,vocal,0.2411818951368332,ok,,0.257,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0015/a1_r1_t01_seed2026333101.flac,held_out_0015,1,1,1,2026333101,1,1,vocal,0.40624916553497314,ok,,0.313,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0015/a6_r0_t01_seed2026333001.flac,held_out_0015,6,0,1,2026333001,1,1,vocal,0.2938500940799713,ok,,0.279,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0015/a6_r1_t01_seed2026333101.flac,held_out_0015,6,1,1,2026333101,1,1,vocal,0.35206735134124756,ok,,0.292,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a1_r0_t03_seed2026334003.flac,held_out_0016,1,0,3,2026334003,1,0,vocal,0.431968092918396,ok,,0.636,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a1_r1_t02_seed2026334102.flac,held_out_0016,1,1,2,2026334102,1,0,vocal,0.4334169924259186,ok,,0.491,cuda
orbit-research/adsr_phase2_20260604/batch3/online_run/keep/held_out_0016/a6_r0_t02_seed2026334002.flac,held_out_0016,6,0,2,2026334002,1,1,vocal,0.4214741587638855,ok,,0.58,cuda
