task_id,prompt_id,condition,seed_idx,seed,output_path,apparent_violation,candidate_violation,implementation_role,requested_vocal,demucs_score,panns_score,near_silent,design_weight,corrected_present,corrected_violation,calibrated_violation_probability,calibrated_satisfaction_probability,instrument_status
w2fact_08_0_06,held_out_0040,plain_baseline,6,2034008006,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s06_2034008006.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.21708793938159943,0.04085848480463028,0,1.0,1,1,0.5831090466851926,0.4168909533148074,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_07,held_out_0040,plain_baseline,7,2034008007,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s07_2034008007.flac,0,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.12279347330331802,0.07590005546808243,0,1.0,1,1,0.7394642292980387,0.2605357707019613,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_08,held_out_0040,plain_baseline,8,2034008008,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s08_2034008008.flac,0,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.13194245100021362,0.1320396065711975,0,1.0,1,1,0.9395556632417092,0.06044433675829075,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_09,held_out_0040,plain_baseline,9,2034008009,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s09_2034008009.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.37018582224845886,0.13428173959255219,0,1.0,1,1,0.9912421675886119,0.008757832411388056,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_10,held_out_0040,plain_baseline,10,2034008010,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s10_2034008010.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.3693930506706238,0.22858627140522003,0,1.0,1,1,0.9983183055068252,0.0016816944931747901,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_11,held_out_0040,plain_baseline,11,2034008011,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s11_2034008011.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.24710297584533691,0.3832351565361023,0,1.0,1,1,0.9994238771632685,0.0005761228367314741,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_12,held_out_0040,plain_baseline,12,2034008012,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s12_2034008012.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.27974602580070496,0.05676454305648804,0,1.0,1,1,0.846188755654212,0.15381124434578797,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_13,held_out_0040,plain_baseline,13,2034008013,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s13_2034008013.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.251657098531723,0.08106087148189545,0,1.0,1,1,0.922778540975165,0.07722145902483502,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_14,held_out_0040,plain_baseline,14,2034008014,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s14_2034008014.flac,1,1,ORIGINAL_UNAFFECTED_PRIMARY,0,0.2505744695663452,0.07395805418491364,0,1.0,1,1,0.9017864747103971,0.09821352528960292,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
w2fact_08_0_15,held_out_0040,plain_baseline,15,2034008015,paper_prep/w2_execution_20260712/factorial/audio/plain_baseline/held_out_0040/plain_baseline_s15_2034008015.flac,0,0,ORIGINAL_UNAFFECTED_PRIMARY,0,0.007914320565760136,0.07354419678449631,0,1.0,1,1,0.041323960787852144,0.9586760392121478,PROMOTED_MECHANICAL_DRAFT_AWAITING_DUAL_PI_ADOPTION
